Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.all.v2024.1.Hs.symbols.gmt	FARMER_BREAST_CANCER_APOCRINE_VS_BASAL	2/329	4.072391e-01	4.983723e-01	1.796699e+00	1.614073e+00	PIP;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	FARMER_BREAST_CANCER_APOCRINE_VS_LUMINAL	2/327	4.042743e-01	4.960683e-01	1.807905e+00	1.637350e+00	CXCL8;PIP
c2.all.v2024.1.Hs.symbols.gmt	FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	3/329	1.635286e-01	3.095469e-01	2.550774e+00	4.618859e+00	AGR2;CXCL8;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	FARMER_BREAST_CANCER_CLUSTER_6	1/14	5.771174e-02	1.926187e-01	2.624540e+01	7.485960e+01	AGR2
c2.all.v2024.1.Hs.symbols.gmt	FEKIR_HEPARG_SIDE_POP_VS_HEPARG_DN	1/107	3.657293e-01	4.632128e-01	3.312872e+00	3.332291e+00	RPS3
c2.all.v2024.1.Hs.symbols.gmt	FEKIR_HEPARG_SIDE_POP_VS_HEPARG_UP	2/90	5.591546e-02	1.912125e-01	6.721790e+00	1.938507e+01	ATF3;MT-ND4
c2.all.v2024.1.Hs.symbols.gmt	FERNANDEZ_BOUND_BY_MYC	3/181	4.170409e-02	1.695804e-01	4.697418e+00	1.492443e+01	RPL13A;RPL27A;MUC1
c2.all.v2024.1.Hs.symbols.gmt	FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_UP	1/89	3.151367e-01	4.222062e-01	3.989939e+00	4.607378e+00	NUCB2
c2.all.v2024.1.Hs.symbols.gmt	FERRARI_RESPONSE_TO_FENRETINIDE_UP	2/22	3.880433e-03	3.658769e-02	2.910811e+01	1.616026e+02	ATF3;NEAT1
c2.all.v2024.1.Hs.symbols.gmt	FEVR_CTNNB1_TARGETS_DN	2/555	6.851674e-01	7.251441e-01	1.052052e+00	3.977726e-01	RPL3;RPL32
c2.all.v2024.1.Hs.symbols.gmt	FEVR_CTNNB1_TARGETS_UP	8/688	8.805360e-03	6.655066e-02	3.092885e+00	1.463675e+01	SYNE2;GADD45A;MUC1;ATF3;MMP10;SFTPC;NUCB2;AGR2
c2.all.v2024.1.Hs.symbols.gmt	FIGUEROA_AML_METHYLATION_CLUSTER_3_DN	1/40	1.562845e-01	3.038299e-01	8.959385e+00	1.662931e+01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS	4/311	4.326999e-02	1.740511e-01	3.523757e+00	1.106564e+01	ATF3;GADD45A;GPX1;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	FISCHER_DREAM_TARGETS	2/969	9.208211e-01	9.310872e-01	5.903066e-01	4.869410e-02	HSP90AA1;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	FISCHER_G1_S_CELL_CYCLE	1/200	5.737754e-01	6.369854e-01	1.761047e+00	9.782919e-01	TCIM
c2.all.v2024.1.Hs.symbols.gmt	FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	3/568	4.334179e-01	5.181145e-01	1.456562e+00	1.217763e+00	DNAJA1;LYZ;RACK1
c2.all.v2024.1.Hs.symbols.gmt	FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	2/88	5.373264e-02	1.861898e-01	6.877832e+00	2.010895e+01	LCN2;LTF
c2.all.v2024.1.Hs.symbols.gmt	FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	4/154	4.192770e-03	3.848016e-02	7.251574e+00	3.969797e+01	RPS29;PPP1R15A;RACK1;RPL23
c2.all.v2024.1.Hs.symbols.gmt	FLECHNER_PBL_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	3/51	1.322803e-03	1.642480e-02	1.739096e+01	1.152673e+02	PPP1R15A;RPL28;RPS2
c2.all.v2024.1.Hs.symbols.gmt	FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_UP	1/384	8.068420e-01	8.319686e-01	9.084146e-01	1.949706e-01	LYZ
c2.all.v2024.1.Hs.symbols.gmt	FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	3/52	1.399509e-03	1.717280e-02	1.703886e+01	1.119731e+02	RPS5;RPL37A;RPL13A
c2.all.v2024.1.Hs.symbols.gmt	FOROUTAN_INTEGRATED_TGFB_EMT_DN	6/74	7.219111e-07	2.390328e-05	2.362130e+01	3.340375e+02	SYNE2;LCN2;CP;TSPAN1;AGR2;S100P
c2.all.v2024.1.Hs.symbols.gmt	FOROUTAN_INTEGRATED_TGFB_EMT_UP	1/120	3.999512e-01	4.927929e-01	2.950731e+00	2.704087e+00	MMP10
c2.all.v2024.1.Hs.symbols.gmt	FOROUTAN_PRODRANK_TGFB_EMT_DN	3/82	5.118374e-03	4.430261e-02	1.059467e+01	5.588600e+01	AGR2;MUC1;S100P
c2.all.v2024.1.Hs.symbols.gmt	FOROUTAN_PRODRANK_TGFB_EMT_UP	1/185	5.455015e-01	6.117829e-01	1.905526e+00	1.154843e+00	MMP10
c2.all.v2024.1.Hs.symbols.gmt	FOROUTAN_TGFB_EMT_DN	7/108	3.839574e-07	1.334892e-05	1.857635e+01	2.744236e+02	SYNE2;MUC1;LCN2;CP;TSPAN1;AGR2;S100P
c2.all.v2024.1.Hs.symbols.gmt	FOROUTAN_TGFB_EMT_UP	1/192	5.589197e-01	6.238130e-01	1.835286e+00	1.067676e+00	MMP10
c2.all.v2024.1.Hs.symbols.gmt	FORTSCHEGGER_PHF8_TARGETS_DN	2/783	8.489573e-01	8.681005e-01	7.372344e-01	1.207194e-01	RPL27A;MUC1
c2.all.v2024.1.Hs.symbols.gmt	FOSTER_KDM1A_TARGETS_DN	1/202	5.774113e-01	6.396601e-01	1.743408e+00	9.574806e-01	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	FOSTER_TOLERANT_MACROPHAGE_DN	1/418	8.332445e-01	8.562306e-01	8.331295e-01	1.519862e-01	CP
c2.all.v2024.1.Hs.symbols.gmt	FOSTER_TOLERANT_MACROPHAGE_UP	2/166	1.562787e-01	3.038299e-01	3.603795e+00	6.689055e+00	CP;LCN2
c2.all.v2024.1.Hs.symbols.gmt	FRASOR_RESPONSE_TO_ESTRADIOL_DN	1/78	2.822744e-01	3.988105e-01	4.558530e+00	5.765973e+00	MUC1
c2.all.v2024.1.Hs.symbols.gmt	FRASOR_TAMOXIFEN_RESPONSE_DN	1/12	4.967357e-02	1.805210e-01	3.081260e+01	9.250813e+01	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	FREDERICK_PRKCI_TARGETS	1/10	4.156755e-02	1.693553e-01	3.730284e+01	1.186393e+02	MMP10
c2.all.v2024.1.Hs.symbols.gmt	FUJII_YBX1_TARGETS_UP	1/43	1.669802e-01	3.123952e-01	8.325826e+00	1.490223e+01	MUC1
c2.all.v2024.1.Hs.symbols.gmt	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN	2/458	5.807869e-01	6.420358e-01	1.281342e+00	6.962443e-01	NEAT1;DNAAF1
c2.all.v2024.1.Hs.symbols.gmt	FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	4/585	2.359552e-01	3.674956e-01	1.839950e+00	2.657097e+00	GAS5;MMP10;RPL10A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	FU_INTERACT_WITH_ALKBH8	1/13	5.370110e-02	1.861898e-01	2.834631e+01	8.289373e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	GABRIELY_MIR21_TARGETS	1/289	7.091017e-01	7.466866e-01	1.212829e+00	4.169175e-01	SYNE2
c2.all.v2024.1.Hs.symbols.gmt	GAJATE_RESPONSE_TO_TRABECTEDIN_UP	4/66	1.779464e-04	3.437002e-03	1.753180e+01	1.513701e+02	ATF3;S100P;GADD45A;NUCB2
c2.all.v2024.1.Hs.symbols.gmt	GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	2/79	4.430917e-02	1.752896e-01	7.679686e+00	2.393423e+01	UBB;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GALI_TP53_TARGETS_APOPTOTIC_UP	1/8	3.339314e-02	1.542150e-01	4.725455e+01	1.606373e+02	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GALLUZZI_PREVENT_MITOCHONDIAL_PERMEABILIZATION	1/14	5.771174e-02	1.926187e-01	2.624540e+01	7.485960e+01	MUC1
c2.all.v2024.1.Hs.symbols.gmt	GAL_LEUKEMIC_STEM_CELL_DN	3/237	7.963060e-02	2.220291e-01	3.566512e+00	9.024547e+00	DNAAF1;LYZ;S100P
c2.all.v2024.1.Hs.symbols.gmt	GAL_LEUKEMIC_STEM_CELL_UP	1/130	4.250268e-01	5.107177e-01	2.721636e+00	2.328640e+00	SERPINB4
c2.all.v2024.1.Hs.symbols.gmt	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP	4/139	2.907194e-03	3.002182e-02	8.059836e+00	4.707401e+01	ATF3;DNAJA1;HSPH1;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREY_DN	1/80	2.883633e-01	4.028974e-01	4.443447e+00	5.525578e+00	TCIM
c2.all.v2024.1.Hs.symbols.gmt	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_UP	3/29	2.482711e-04	4.564721e-03	3.186050e+01	2.644737e+02	DNAJA1;PPP1R15A;UBB
c2.all.v2024.1.Hs.symbols.gmt	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_PURPLE_DN	1/13	5.370110e-02	1.861898e-01	2.834631e+01	8.289373e+01	GAS5
c2.all.v2024.1.Hs.symbols.gmt	GARY_CD5_TARGETS_DN	3/440	2.860300e-01	4.008908e-01	1.893902e+00	2.370519e+00	GAS5;DNAJA1;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	GARY_CD5_TARGETS_UP	5/473	5.064437e-02	1.834100e-01	2.837244e+00	8.463291e+00	NEAT1;RPL31;GAS5;NUCB2;RPL13A
c2.all.v2024.1.Hs.symbols.gmt	GAURNIER_PSMD4_TARGETS	1/73	2.668259e-01	3.878738e-01	4.874018e+00	6.439352e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	2/95	6.150575e-02	1.980274e-01	6.360890e+00	1.773813e+01	ATF3;LYZ
c2.all.v2024.1.Hs.symbols.gmt	GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_UP	2/195	2.001503e-01	3.425050e-01	3.059641e+00	4.922004e+00	ERICH3;RPL15
c2.all.v2024.1.Hs.symbols.gmt	GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_UP	1/174	5.235954e-01	5.929533e-01	2.027354e+00	1.311771e+00	RPS15A
c2.all.v2024.1.Hs.symbols.gmt	GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	1/98	3.409131e-01	4.450218e-01	3.620156e+00	3.895750e+00	CP
c2.all.v2024.1.Hs.symbols.gmt	GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_DN	1/35	1.381557e-01	2.876176e-01	1.026017e+01	2.030872e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_UP	2/245	2.782236e-01	3.967016e-01	2.425828e+00	3.103435e+00	MMP10;AGR2
c2.all.v2024.1.Hs.symbols.gmt	GAVIN_FOXP3_TARGETS_CLUSTER_P7	1/91	3.209496e-01	4.283435e-01	3.901409e+00	4.433839e+00	DNAH12
c2.all.v2024.1.Hs.symbols.gmt	GAVIN_FOXP3_TARGETS_CLUSTER_T4	1/97	3.380971e-01	4.430092e-01	3.657837e+00	3.966639e+00	NUCB2
c2.all.v2024.1.Hs.symbols.gmt	GAVIN_FOXP3_TARGETS_CLUSTER_T7	2/101	6.845368e-02	2.057725e-01	5.975689e+00	1.602440e+01	FTL;RPL32
c2.all.v2024.1.Hs.symbols.gmt	GAZDA_DIAMOND_BLACKFAN_ANEMIA_ERYTHROID_DN	2/471	5.961138e-01	6.534384e-01	1.245114e+00	6.441271e-01	RPL28;LCN2
c2.all.v2024.1.Hs.symbols.gmt	GAZDA_DIAMOND_BLACKFAN_ANEMIA_MYELOID_DN	1/41	1.598648e-01	3.051033e-01	8.737770e+00	1.602006e+01	RPL28
c2.all.v2024.1.Hs.symbols.gmt	GAZDA_DIAMOND_BLACKFAN_ANEMIA_PROGENITOR_DN	1/66	2.446439e-01	3.725015e-01	5.396620e+00	7.598181e+00	NUCB2
c2.all.v2024.1.Hs.symbols.gmt	GEISS_RESPONSE_TO_DSRNA_UP	1/39	1.526892e-01	3.016190e-01	9.192513e+00	1.727596e+01	ATF3
c2.all.v2024.1.Hs.symbols.gmt	GENTILE_UV_HIGH_DOSE_DN	2/289	3.467660e-01	4.501269e-01	2.050435e+00	2.171626e+00	ATF3;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GENTILE_UV_HIGH_DOSE_UP	2/23	4.238325e-03	3.848016e-02	2.775299e+01	1.516309e+02	ATF3;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GEORGES_TARGETS_OF_MIR192_AND_MIR215	1/892	9.790287e-01	9.809097e-01	3.816346e-01	8.088470e-03	NUCB2
c2.all.v2024.1.Hs.symbols.gmt	GERHOLD_ADIPOGENESIS_UP	1/48	1.845090e-01	3.264510e-01	7.447734e+00	1.258710e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GERY_CEBP_TARGETS	5/131	2.393318e-04	4.497712e-03	1.067403e+01	8.899647e+01	PPP1R15A;HSPH1;LCN2;ATF3;LYZ
c2.all.v2024.1.Hs.symbols.gmt	GHANDHI_BYSTANDER_IRRADIATION_DN	1/12	4.967357e-02	1.805210e-01	3.081260e+01	9.250813e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	GHANDHI_BYSTANDER_IRRADIATION_UP	3/84	5.473640e-03	4.604038e-02	1.033374e+01	5.381615e+01	MMP10;CXCL8;TCIM
c2.all.v2024.1.Hs.symbols.gmt	GHANDHI_DIRECT_IRRADIATION_DN	1/35	1.381557e-01	2.876176e-01	1.026017e+01	2.030872e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	GHANDHI_DIRECT_IRRADIATION_UP	4/105	1.040831e-03	1.419067e-02	1.077634e+01	7.400905e+01	MMP10;CXCL8;GADD45A;TCIM
c2.all.v2024.1.Hs.symbols.gmt	GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_UP	1/110	3.737942e-01	4.694369e-01	3.221669e+00	3.170283e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	2/338	4.204932e-01	5.067295e-01	1.747922e+00	1.514272e+00	GAS5;SFTPC
c2.all.v2024.1.Hs.symbols.gmt	GNATENKO_PLATELET_SIGNATURE	2/44	1.496131e-02	9.469072e-02	1.402639e+01	5.894293e+01	TMSB4X;GPX1
c2.all.v2024.1.Hs.symbols.gmt	GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	1/1102	9.917539e-01	9.917539e-01	3.058178e-01	2.532269e-03	ATF3
c2.all.v2024.1.Hs.symbols.gmt	GOLDRATH_ANTIGEN_RESPONSE	1/366	7.912310e-01	8.187043e-01	9.539419e-01	2.233801e-01	NAPSA
c2.all.v2024.1.Hs.symbols.gmt	GOLUB_ALL_VS_AML_DN	2/23	4.238325e-03	3.848016e-02	2.775299e+01	1.516309e+02	LYZ;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	1/208	5.881359e-01	6.477569e-01	1.692533e+00	8.983916e-01	CFTR
c2.all.v2024.1.Hs.symbols.gmt	GOUYER_TATI_TARGETS_UP	2/10	7.813473e-04	1.149312e-02	7.024006e+01	5.025319e+02	CXCL8;LCN2
c2.all.v2024.1.Hs.symbols.gmt	GOZGIT_ESR1_TARGETS_DN	9/786	6.099004e-03	5.008867e-02	3.047017e+00	1.553866e+01	TMSB4X;LCN2;NEAT1;MSMB;CP;NUCB2;AGR2;SCGB1A1;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	GRADE_COLON_AND_RECTAL_CANCER_UP	1/290	7.103502e-01	7.472468e-01	1.208584e+00	4.133323e-01	PABPC3
c2.all.v2024.1.Hs.symbols.gmt	GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	3/1776	9.835388e-01	9.849553e-01	4.383863e-01	7.276432e-03	RPL3;NEAT1;GAS5
c2.all.v2024.1.Hs.symbols.gmt	GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	6/1151	3.614812e-01	4.614602e-01	1.343481e+00	1.367053e+00	PPP1R15A;GADD45A;TCIM;ATF3;RPS27;DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_UP	3/567	4.322938e-01	5.171286e-01	1.459210e+00	1.223766e+00	CP;GADD45A;TCIM
c2.all.v2024.1.Hs.symbols.gmt	GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	3/776	6.431163e-01	6.918724e-01	1.054595e+00	4.655297e-01	RPL3;CFAP298;GAS5
c2.all.v2024.1.Hs.symbols.gmt	GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	1/611	9.279170e-01	9.378076e-01	5.646770e-01	4.224515e-02	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	1/218	6.054150e-01	6.601650e-01	1.613978e+00	8.099602e-01	CP
c2.all.v2024.1.Hs.symbols.gmt	GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_DN	3/94	7.470123e-03	5.924972e-02	9.200185e+00	4.505187e+01	NEAT1;RPL31;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	GRAHAM_CML_QUIESCENT_VS_CML_DIVIDING_UP	1/24	9.690462e-02	2.420875e-01	1.507032e+01	3.517454e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP	1/59	2.217980e-01	3.578273e-01	6.044289e+00	9.102627e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_UP	1/64	2.381851e-01	3.674956e-01	5.567098e+00	7.987156e+00	NEAT1
c2.all.v2024.1.Hs.symbols.gmt	GREGORY_SYNTHETIC_LETHAL_WITH_IMATINIB	1/145	4.607088e-01	5.411659e-01	2.437448e+00	1.888995e+00	RPL21
c2.all.v2024.1.Hs.symbols.gmt	GRESHOCK_CANCER_COPY_NUMBER_UP	2/323	3.983243e-01	4.922420e-01	1.830734e+00	1.685170e+00	HSP90AA1;MUC1
c2.all.v2024.1.Hs.symbols.gmt	GROSS_ELK3_TARGETS_UP	1/27	1.083448e-01	2.588857e-01	1.336243e+01	2.969714e+01	GPX1
c2.all.v2024.1.Hs.symbols.gmt	GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	2/143	1.230803e-01	2.740804e-01	4.193964e+00	8.786011e+00	ATF3;TCIM
c2.all.v2024.1.Hs.symbols.gmt	GROSS_HYPOXIA_VIA_ELK3_DN	3/155	2.822588e-02	1.405231e-01	5.504811e+00	1.963850e+01	PPP1R15A;GADD45A;TCIM
c2.all.v2024.1.Hs.symbols.gmt	GROSS_HYPOXIA_VIA_ELK3_ONLY_UP	2/34	9.118486e-03	6.793272e-02	1.835052e+01	8.620068e+01	PPP1R15A;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	GROSS_HYPOXIA_VIA_ELK3_UP	1/210	5.916506e-01	6.502546e-01	1.676222e+00	8.797466e-01	GPX1
c2.all.v2024.1.Hs.symbols.gmt	GROSS_HYPOXIA_VIA_HIF1A_DN	1/110	3.737942e-01	4.694369e-01	3.221669e+00	3.170283e+00	TCIM
c2.all.v2024.1.Hs.symbols.gmt	GRUETZMANN_PANCREATIC_CANCER_DN	2/200	2.078673e-01	3.470081e-01	2.981891e+00	4.684120e+00	RPL32;NUCB2
c2.all.v2024.1.Hs.symbols.gmt	GRUETZMANN_PANCREATIC_CANCER_UP	6/359	4.242779e-03	3.848016e-02	4.518040e+00	2.467996e+01	GADD45A;GPX1;LCN2;ATF3;DNAJA1;S100P
c2.all.v2024.1.Hs.symbols.gmt	GRYDER_PAX3FOXO1_ENHANCERS_IN_TADS	4/1009	6.239950e-01	6.751315e-01	1.043111e+00	4.919447e-01	ATF3;RPL23A;GADD45A;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	4/438	1.154253e-01	2.689103e-01	2.479264e+00	5.353057e+00	ATF3;RPL23A;GADD45A;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	GRYDER_PAX3FOXO1_TOP_ENHANCERS	3/441	2.871840e-01	4.020576e-01	1.889495e+00	2.357395e+00	ATF3;RPL23A;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	GUILLAUMOND_KLF10_TARGETS_DN	1/30	1.196416e-01	2.710169e-01	1.200190e+01	2.548310e+01	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	GUILLAUMOND_KLF10_TARGETS_UP	1/50	1.914179e-01	3.321944e-01	7.146168e+00	1.181473e+01	LCN2
c2.all.v2024.1.Hs.symbols.gmt	GUO_TARGETS_OF_IRS1_AND_IRS2	3/97	8.142313e-03	6.290690e-02	8.906901e+00	4.284826e+01	HSP90AA1;DNAJA1;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	GU_PDEF_TARGETS_UP	1/71	2.605548e-01	3.835690e-01	5.012743e+00	6.741850e+00	SERPINB3
c2.all.v2024.1.Hs.symbols.gmt	HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_DN	1/64	2.381851e-01	3.674956e-01	5.567098e+00	7.987156e+00	LYZ
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_CTCL_CUTANEOUS	2/26	5.399779e-03	4.578837e-02	2.435135e+01	1.271481e+02	RPL31;S100P
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_CTCL_PATHOGENESIS	1/15	6.170557e-02	1.980274e-01	2.443426e+01	6.805873e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	3/115	1.291285e-02	8.524116e-02	7.475677e+00	3.251570e+01	NUCB2;RPL31;MT-ND4
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_MYCOSIS_FUNGOIDES_CD4_UP	3/63	2.431736e-03	2.601334e-02	1.393393e+01	8.387041e+01	ATF3;PPP1R15A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_MYCOSIS_FUNGOIDES_DN	1/17	6.964305e-02	2.057725e-01	2.147059e+01	5.720564e+01	RPL31
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_MYCOSIS_FUNGOIDES_SKIN_UP	2/177	1.727090e-01	3.187349e-01	3.376222e+00	5.929143e+00	RPL23;MT-ND4
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_MYCOSIS_FUNGOIDES_UP	1/18	7.358684e-02	2.123128e-01	2.024278e+01	5.281927e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	HAHTOLA_SEZARY_SYNDROM_UP	2/99	6.610963e-02	2.016150e-01	6.098822e+00	1.656709e+01	GOLGB1;S100P
c2.all.v2024.1.Hs.symbols.gmt	HALMOS_CEBPA_TARGETS_DN	1/45	1.740360e-01	3.187349e-01	7.950910e+00	1.390211e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	HALMOS_CEBPA_TARGETS_UP	1/49	1.879707e-01	3.283977e-01	7.293842e+00	1.219143e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	HAMAI_APOPTOSIS_VIA_TRAIL_UP	7/656	2.140401e-02	1.165764e-01	2.830683e+00	1.088165e+01	SYNE2;HSPH1;SFTPC;HSP90AA1;DNAJA1;GOLGB1;NUCB2
c2.all.v2024.1.Hs.symbols.gmt	HAN_JNK_SINGALING_DN	2/40	1.247157e-02	8.365174e-02	1.548649e+01	6.789746e+01	CP;LCN2
c2.all.v2024.1.Hs.symbols.gmt	HAN_SATB1_TARGETS_DN	4/388	8.278601e-02	2.248589e-01	2.808131e+00	6.996449e+00	MMP10;AGR2;TCIM;S100P
c2.all.v2024.1.Hs.symbols.gmt	HAN_SATB1_TARGETS_UP	5/425	3.455697e-02	1.575345e-01	3.168129e+00	1.066122e+01	TCIM;NEAT1;MMP10;CXCL8;S100P
c2.all.v2024.1.Hs.symbols.gmt	HARRIS_HYPOXIA	3/81	4.946121e-03	4.344205e-02	1.073012e+01	5.696782e+01	FTL;CP;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	HEBERT_MATRISOME_TNBC_LUNG_METASTASIS	1/23	9.305905e-02	2.367331e-01	1.574082e+01	3.737691e+01	SFTPA1
c2.all.v2024.1.Hs.symbols.gmt	HECKER_IFNB1_TARGETS	1/95	3.324294e-01	4.388910e-01	3.735591e+00	4.114110e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	HEDENFALK_BREAST_CANCER_BRACX_UP	3/19	6.789114e-05	1.490746e-03	5.119308e+01	4.913309e+02	RPS5;RPL31;RPL15
c2.all.v2024.1.Hs.symbols.gmt	HEDVAT_ELF4_TARGETS_UP	1/12	4.967357e-02	1.805210e-01	3.081260e+01	9.250813e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	HEIDENBLAD_AMPLIFIED_IN_PANCREATIC_CANCER	1/57	2.151460e-01	3.519958e-01	6.258814e+00	9.616282e+00	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS	2/77	4.230794e-02	1.707048e-01	7.883837e+00	2.493485e+01	GADD45A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	HELLER_HDAC_TARGETS_DN	4/293	3.602652e-02	1.619087e-01	3.745942e+00	1.244964e+01	ATF3;PPP1R15A;GADD45A;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	4/282	3.197545e-02	1.509068e-01	3.895861e+00	1.341262e+01	ATF3;PPP1R15A;GADD45A;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_UP	1/461	8.615773e-01	8.788510e-01	7.538365e-01	1.123145e-01	FTL
c2.all.v2024.1.Hs.symbols.gmt	HELLER_HDAC_TARGETS_UP	2/317	3.893497e-01	4.837791e-01	1.866064e+00	1.760216e+00	NEAT1;FTL
c2.all.v2024.1.Hs.symbols.gmt	HELLER_SILENCED_BY_METHYLATION_DN	4/107	1.116449e-03	1.492893e-02	1.056714e+01	7.183120e+01	ATF3;PPP1R15A;NEAT1;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	HELLER_SILENCED_BY_METHYLATION_UP	3/283	1.187393e-01	2.710169e-01	2.975356e+00	6.339962e+00	RPS2;MUC1;S100P
c2.all.v2024.1.Hs.symbols.gmt	HENDRICKS_SMARCA4_TARGETS_DN	2/49	1.834678e-02	1.069033e-01	1.254708e+01	5.016702e+01	AGR2;SFTPB
